email_text,tone,label
your contribution has been outstanding.,positive,6
i'm grateful for your continuous help.,appreciative,0
great job on the project! keep it up.,positive,6
i hope this message finds you well. please review the attached document at your convenience.,formal,1
i'm really happy with how things turned out.,positive,6
your contribution has been outstanding.,positive,6
the meeting is scheduled for 3 pm.,neutral,4
can you send me the file real quick?,informal,2
your contribution has been outstanding.,positive,6
thank you for your patience and support.,polite,5
i'm really happy with how things turned out.,positive,6
thank you so much for your hard work!,appreciative,0
please let me know if further clarification is required.,formal,1
thank you so much for your hard work!,appreciative,0
your contribution has been outstanding.,positive,6
your request has been processed.,neutral,4
great job on the project! keep it up.,positive,6
this needs to be completed as soon as possible.,urgent,8
why haven't you done this yet?,rude,7
let me know what's up.,informal,2
this didn't meet expectations.,negative,3
the file has been uploaded to the shared folder.,neutral,4
why haven't you done this yet?,rude,7
i would really appreciate your assistance with this.,polite,5
this didn't meet expectations.,negative,3
your request has been processed.,neutral,4
can you send me the file real quick?,informal,2
i would really appreciate your assistance with this.,polite,5
the meeting is scheduled for 3 pm.,neutral,4
i would really appreciate your assistance with this.,polite,5
this needs to be completed as soon as possible.,urgent,8
thank you for your patience and support.,polite,5
this needs to be completed as soon as possible.,urgent,8
kindly be informed that the meeting has been rescheduled to tomorrow.,formal,1
i would really appreciate your assistance with this.,polite,5
your contribution has been outstanding.,positive,6
we are not satisfied with the current progress.,negative,3
this didn't meet expectations.,negative,3
your support means a lot to us.,appreciative,0
thank you for your patience and support.,polite,5
thank you for your patience and support.,polite,5
great job on the project! keep it up.,positive,6
this is unacceptable. fix it immediately.,rude,7
thank you so much for your hard work!,appreciative,0
i'm really happy with how things turned out.,positive,6
your contribution has been outstanding.,positive,6
thank you for your patience and support.,polite,5
let me know what's up.,informal,2
your request has been processed.,neutral,4
i'm disappointed with the results.,negative,3
thank you for your patience and support.,polite,5
the file has been uploaded to the shared folder.,neutral,4
please let me know if further clarification is required.,formal,1
thank you so much for your hard work!,appreciative,0
this didn't meet expectations.,negative,3
your request has been processed.,neutral,4
i hope this message finds you well. please review the attached document at your convenience.,formal,1
we are not satisfied with the current progress.,negative,3
this needs to be completed as soon as possible.,urgent,8
